,Yrs,pH,V,Res,H2O,BD,Cl,HCO3,SO4,Redox,Coat,Pit
0,20,4.35,-0.71,62.1,23.9,1.21,12.41,16.65,172.2,342.0,0.8,1.57
1,20,4.79,-0.83,63.5,19.5,1.28,24.81,11.1,116.1,129.0,1.0,3.05
2,20,5.78,-0.77,17.6,23.9,1.27,14.06,11.1,121.7,339.0,0.8,2.08
3,20,5.65,-0.83,19.3,27.0,1.25,15.44,11.1,34.3,340.0,0.8,1.57
4,19,6.84,-1.95,36.0,27.7,1.26,7.44,12.93,343.3,235.0,0.8,0.79
5,21,5.21,-0.91,65.8,12.8,1.3,12.13,11.1,84.17,313.0,0.8,0.81
6,21,5.27,-0.99,15.2,16.4,1.21,8.82,12.93,93.58,306.0,0.8,1.17
7,21,5.5,-1.08,20.8,15.3,1.24,9.1,13.87,47.4,279.0,0.8,1.17
8,20,4.33,-0.71,57.1,23.9,1.24,14.89,11.1,127.0,342.0,0.8,1.57
9,26,7.5,-0.65,15.7,20.3,1.28,8.27,12.65,136.4,235.0,0.7,1.42
10,26,7.11,-0.68,39.4,30.3,1.16,9.94,12.65,101.5,210.0,0.7,1.89
11,26,6.01,-0.67,13.3,29.4,1.3,69.05,5.55,40.43,96.0,0.7,4.24
12,26,7.04,-0.71,10.0,34.1,1.21,38.26,12.87,106.8,93.0,0.7,2.59
13,21,5.02,-0.81,44.0,19.5,1.27,49.3,11.1,28.0,104.0,1.0,3.91
14,21,5.73,-0.79,81.1,12.5,1.29,9.93,19.42,173.0,272.0,0.8,0.76
15,25,5.8,-0.88,8.8,33.9,1.15,11.58,8.32,321.1,263.0,0.7,2.51
16,26,6.22,-0.77,10.8,27.4,1.17,27.99,5.1,143.2,92.0,0.7,2.67
17,25,6.37,-0.85,46.8,30.4,1.16,14.06,11.1,284.3,88.0,0.7,0.94
18,23,5.77,-0.97,104.7,28.0,1.2,8.82,12.94,170.8,305.0,0.7,0.53
19,25,5.73,-1.36,18.7,29.8,1.19,17.09,27.74,83.6,309.0,0.7,1.07
20,21,4.86,-0.8,89.6,16.1,1.26,56.32,5.55,34.8,189.0,1.0,3.91
21,18,4.91,-1.16,124.2,22.3,1.24,10.75,11.1,39.81,348.0,1.0,2.06
22,25,5.0,-0.88,16.2,31.0,1.11,26.62,5.55,133.2,220.0,0.7,3.1
23,20,7.5,-1.44,22.4,26.8,1.25,8.27,5.55,275.0,157.0,0.8,0.43
24,18,5.15,-1.36,183.1,25.5,1.22,15.72,5.55,57.66,218.0,1.0,2.34
25,22,6.4,-0.88,30.9,18.8,1.24,8.27,5.55,129.8,202.0,0.8,0.76
26,25,5.29,-0.75,86.3,29.1,1.12,6.62,5.55,60.47,275.0,0.7,1.17
27,20,4.16,-1.09,6.8,28.9,1.2,86.3,8.32,129.8,108.0,1.0,4.78
28,23,4.6,-0.8,129.3,20.8,1.27,8.8,9.71,98.1,130.0,0.7,1.27
29,20,5.51,-0.62,72.3,28.9,1.17,14.09,11.1,81.99,315.0,0.8,1.57
30,29,6.61,-1.11,9.1,30.8,1.28,18.49,5.55,30.97,59.0,0.7,0.91
31,19,5.5,-1.18,236.6,18.1,1.29,11.45,8.32,82.28,326.0,0.7,1.4
32,22,5.2,-0.87,98.5,21.0,1.29,12.33,16.65,184.8,255.0,1.0,2.21
33,22,5.35,-0.88,87.4,23.1,1.19,7.92,19.42,59.19,288.0,0.8,1.65
34,20,5.29,-0.83,82.7,19.1,1.27,8.8,11.1,54.91,269.0,0.8,1.17
35,22,5.77,-0.96,79.3,17.0,1.19,7.92,11.1,71.59,233.0,0.8,1.93
36,20,6.01,-0.91,24.1,22.6,1.19,7.92,11.1,138.7,201.0,0.8,0.94
37,22,5.02,-0.96,72.0,20.3,1.25,12.49,16.55,172.3,180.0,0.8,1.57
38,19,6.96,-1.07,65.0,30.3,1.28,15.89,11.97,168.0,220.0,0.8,1.57
39,29,5.35,-1.05,34.5,21.7,1.26,13.33,13.87,308.4,190.0,0.7,2.21
40,18,5.99,-0.99,123.1,13.4,1.3,6.62,5.55,60.47,189.0,0.8,1.17
41,20,6.11,-0.8,87.8,20.1,1.22,12.33,16.65,54.85,150.0,0.7,1.17
42,19,5.43,-1.1,149.2,20.4,1.2,17.09,11.1,61.99,299.0,1.0,1.57
43,20,5.57,-1.1,221.0,13.7,1.28,8.27,5.55,255.1,290.0,0.8,0.41
44,18,5.78,-1.1,65.0,21.6,1.25,17.09,17.74,53.56,133.0,0.8,1.04
45,15,5.93,-1.13,99.5,23.4,1.27,15.72,5.55,57.66,199.0,0.8,1.57
46,20,5.01,-0.81,43.6,25.3,1.19,27.75,5.55,27.81,74.0,0.8,2.74
47,15,6.48,-1.05,161.2,16.6,1.27,9.93,19.42,93.05,274.0,0.8,0.41
48,20,7.01,-0.98,15.1,34.0,1.19,14.06,11.1,184.3,85.0,0.8,1.04
49,15,6.84,-1.23,90.9,20.8,1.27,7.44,12.65,111.5,163.0,0.8,0.41
50,18,5.99,-0.94,104.0,13.4,1.3,9.72,5.55,66.47,189.0,0.8,0.92
51,20,6.01,-0.78,85.8,20.1,1.22,12.83,16.65,89.85,150.0,0.8,0.94
52,17,5.23,-1.02,139.2,20.4,1.2,17.86,11.1,128.0,209.0,0.8,0.91
53,20,5.7,-1.1,151.0,13.7,1.28,9.27,5.55,185.1,259.0,0.7,0.91
54,18,5.79,-1.1,65.0,21.6,1.25,17.94,15.74,148.6,233.0,0.8,0.94
55,16,5.56,-0.83,19.3,27.0,1.25,14.4,5.55,192.3,240.0,0.8,0.91
56,22,5.28,-0.77,17.6,23.9,1.25,19.06,8.32,158.0,339.0,0.7,1.01
57,15,4.69,-0.82,51.5,19.9,1.27,28.81,5.55,200.2,120.0,0.9,1.93
58,20,5.12,-1.03,11.6,29.1,1.28,26.81,5.55,159.5,101.0,0.9,2.08
59,13,5.02,-0.91,49.0,25.3,1.24,19.27,5.55,217.3,80.0,1.0,1.58
60,20,6.01,-0.69,22.6,25.3,1.22,82.99,5.55,109.3,225.0,0.8,2.5
