,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,19.44,484,292,199.967,1264.6
1,2.06,114,266,209.983,1.6
2,7.02,282,395,209.977,77.9
3,10.78,253,347,209.988,408.6
4,2.42,126,273,209.944,13.7
5,14.75,454,300,200.138,923.1
6,6.87,555,431,200.421,700.8
7,8.08,463,312,200.582,575.7
8,19.89,472,388,199.849,1432.0
9,16.14,457,426,199.772,761.2
10,5.41,228,323,200.859,266.9
11,5.85,264,392,209.969,351.1
12,17.05,568,398,199.85,1619.7
13,16.66,451,415,199.823,1363.9
14,5.87,270,315,210.0,137.3
15,2.05,123,358,210.0,5.7
16,4.67,160,368,209.945,49.6
17,4.92,241,380,210.0,150.0
18,1.25,106,269,210.0,1.6
19,20.92,420,386,199.908,1616.2
20,3.69,153,360,209.976,18.6
21,15.96,458,365,200.133,1110.6
22,2.54,114,312,210.0,1.6
23,2.04,120,358,210.0,2.3
24,16.77,454,384,199.487,1261.7
25,6.31,423,339,210.0,399.6
26,6.51,412,354,209.986,248.7
27,2.61,95,360,209.877,17.3
28,7.07,571,418,200.841,1047.3
29,13.66,453,403,199.864,1125.5
30,12.35,249,395,209.948,178.1
31,10.72,481,401,200.481,870.9
32,4.59,250,401,209.962,341.9
33,6.77,464,434,199.513,562.7
34,5.08,192,303,209.918,97.8
35,14.99,604,399,199.826,1595.2
36,22.12,470,381,199.762,1608.4
37,14.36,253,393,209.887,352.9
38,1.95,134,399,209.861,13.3
39,14.43,266,297,209.997,309.2
40,6.67,579,424,200.575,809.0
41,18.71,463,389,199.817,1382.3
42,2.97,132,355,209.908,23.7
43,19.24,435,386,200.17,1425.5
44,4.89,280,345,209.953,294.1
45,12.57,507,407,199.884,1207.0
46,19.08,496,300,199.975,1156.8
47,2.47,125,279,209.91,17.5
48,5.95,503,392,209.983,413.0
49,18.56,588,397,199.851,1688.7
50,7.18,445,338,199.696,363.6
51,0.76,89,359,210.0,4.1
52,3.37,151,360,210.0,15.6
53,2.98,180,259,210.0,1.6
54,3.67,99,363,209.955,14.1
55,6.45,553,409,200.653,927.0
56,2.33,125,357,209.962,14.5
57,3.95,184,304,210.0,16.7
58,4.69,307,409,210.0,719.5
59,6.19,500,416,209.958,789.3
60,2.38,97,359,209.968,2.6
61,6.98,377,302,210.0,259.3
62,9.8,557,410,209.87,1020.4
63,18.82,474,385,200.17,425.3
64,6.22,450,300,210.0,689.5
65,12.84,466,412,199.743,1166.6
66,1.62,123,276,209.996,1.6
67,6.33,507,359,209.997,470.0
68,6.99,282,317,210.0,124.8
69,3.33,230,271,209.892,1.6
70,13.09,439,411,199.943,1117.8
71,14.76,462,311,200.056,1012.5
72,6.38,499,362,210.0,456.7
73,3.11,273,314,209.999,66.7
74,5.16,576,368,210.0,806.1
75,11.16,604,398,200.214,1414.5
76,6.2,328,376,210.0,247.8
77,12.54,608,310,200.06,1544.5
78,7.18,236,403,210.0,112.9
79,9.99,192,289,200.504,469.8
80,7.05,463,313,200.953,319.7
81,4.03,279,282,209.952,815.0
82,24.6,451,376,199.841,1870.4
83,16.92,547,368,199.442,1562.6
84,19.05,458,367,199.028,1385.1
85,5.08,436,423,209.95,540.7
86,5.13,187,369,210.0,512.6
87,3.73,151,365,210.0,43.6
88,9.25,455,283,210.0,518.0
89,2.26,111,274,210.0,3.3
90,6.32,421,306,200.75,307.0
91,13.8,568,403,199.305,380.4
92,5.93,461,434,209.451,455.3
93,11.19,269,413,209.849,214.5
94,4.2,142,281,209.975,19.8
95,6.19,266,376,210.0,231.2
96,2.85,156,334,210.0,53.8
97,4.43,177,286,209.96,19.8
98,2.16,121,268,210.0,1.6
99,14.08,563,416,199.965,1470.8
100,7.8,441,358,200.263,388.5
101,2.86,141,358,210.0,9.7
102,5.2,255,404,210.0,74.8
103,19.96,524,285,199.965,1415.9
104,6.21,331,375,210.0,248.5
105,14.01,473,363,209.958,725.8
106,1.49,111,298,209.972,35.3
107,21.97,453,386,199.795,1598.1
108,6.26,368,392,209.946,179.3
109,7.44,560,404,200.673,781.3
110,5.14,445,320,209.968,1.6
111,1.11,105,254,209.97,4.2
112,15.8,441,340,209.934,196.6
113,5.97,359,347,200.146,239.2
114,6.6,286,403,209.956,170.5
115,7.03,427,385,200.138,1463.9
116,11.14,610,400,199.786,1416.7
117,6.57,337,377,210.0,222.6
118,20.03,552,389,200.098,1392.8
119,8.07,451,411,200.662,658.0
120,6.27,546,413,210.0,721.1
121,4.33,166,289,209.942,26.4
122,6.32,340,374,210.0,227.4
123,17.26,465,366,199.706,1247.5
124,6.16,533,370,210.0,74.2
125,10.71,587,403,200.345,1188.3
126,3.67,165,302,209.957,44.7
127,3.36,102,365,209.999,6.4
128,1.74,115,259,209.932,9.7
129,13.17,442,380,200.441,778.4
130,11.75,601,313,200.034,1379.8
131,19.11,451,304,199.975,1312.9
132,6.89,356,291,209.927,300.8
133,6.65,394,333,209.652,269.3
134,6.96,229,406,209.972,61.5
135,4.11,128,313,209.974,12.6
136,6.54,272,290,209.996,182.4
137,20.11,547,415,200.12,1293.5
138,11.56,451,408,200.246,917.2
139,6.02,304,403,210.0,97.8
140,9.68,275,349,209.903,108.7
141,3.7,281,414,209.913,158.3
142,16.75,540,289,199.981,1473.2
143,19.77,459,387,199.921,1501.1
144,5.42,320,401,209.957,895.1
145,12.74,427,362,200.285,737.2
146,16.26,573,295,200.402,1228.5
147,4.87,174,369,209.983,45.4
148,13.52,600,307,200.211,1441.6
149,6.21,514,375,210.0,479.9
150,15.2,451,400,200.138,1214.6
151,2.13,205,272,210.0,24.9
152,4.24,273,404,210.0,114.1
153,7.13,417,306,200.764,265.4
154,13.26,251,386,210.0,208.4
155,9.56,510,405,200.366,900.9
156,6.39,357,298,209.982,223.8
157,12.63,592,411,200.003,1463.7
158,6.02,185,364,210.0,221.3
159,9.84,460,383,200.473,597.6
160,5.61,207,398,209.934,18.0
161,4.06,136,305,209.974,15.9
162,16.82,453,282,200.203,1113.5
163,3.72,276,291,210.0,62.7
164,2.73,143,301,209.977,36.8
165,6.68,418,395,199.974,1308.6
166,3.4,133,302,209.966,26.5
167,6.56,340,295,210.0,234.9
168,1.81,111,390,209.905,1.6
169,0.76,98,265,209.94,1.6
