,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,6.31,135,369,210.0,249.1
1,2.64,126,354,209.509,19.9
2,5.28,89,315,209.338,136.2
3,3.62,89,311,210.0,21.6
4,12.42,418,312,200.224,475.6
5,6.93,358,397,209.314,165.0
6,13.12,152,283,209.092,2.6
7,9.86,555,371,200.17,1095.5
8,6.36,477,415,199.548,1487.9
9,6.64,142,374,209.791,84.5
10,9.87,89,340,210.0,153.0
11,11.94,402,305,209.424,414.7
12,10.7,540,325,199.758,231.1
13,2.31,89,290,209.539,501.6
14,8.89,89,291,209.472,147.3
15,9.62,492,311,200.234,966.0
16,19.85,419,358,209.058,122.9
17,16.61,154,299,209.614,285.6
18,4.07,89,331,209.143,313.6
19,8.52,89,375,210.0,345.8
20,9.73,448,330,200.943,1229.1
21,13.35,372,296,199.748,1063.1
22,5.9,209,367,209.63,231.9
23,7.32,381,285,208.789,594.7
24,5.34,172,373,209.915,143.4
25,8.55,590,415,200.04,747.1
26,10.63,101,360,210.0,231.1
27,12.68,504,304,200.429,1219.7
28,2.63,89,343,210.0,1.6
29,12.19,404,368,210.0,72.6
30,12.99,298,269,209.896,470.5
31,3.45,89,302,209.226,137.3
32,4.12,376,380,199.927,1076.3
33,3.43,89,321,210.0,312.5
34,10.26,562,341,200.885,933.7
35,17.68,444,425,198.943,1205.1
36,6.96,119,364,210.0,218.7
37,11.88,604,339,199.902,1423.8
38,6.8,587,336,199.664,1735.1
39,8.93,394,298,203.966,190.9
40,7.43,89,297,209.463,412.1
41,4.23,145,300,209.904,1.6
42,10.95,604,413,200.545,1151.5
43,6.98,427,390,209.918,267.4
44,7.67,89,384,209.555,123.2
45,15.93,392,326,199.366,1461.9
46,3.85,89,377,209.931,4.5
47,15.45,181,280,210.0,141.9
48,6.19,101,358,210.0,103.3
49,9.79,402,411,200.015,1027.4
50,6.93,98,378,209.352,118.6
51,19.92,395,328,201.054,267.2
52,3.01,152,291,209.809,176.1
53,0.76,96,324,210.0,122.2
54,15.84,378,367,200.63,959.7
55,8.88,162,292,209.552,139.4
56,3.24,91,355,209.845,163.8
57,0.76,89,279,209.346,349.5
58,8.27,504,379,204.154,768.7
59,5.33,403,285,209.805,337.9
60,5.49,512,326,199.26,310.5
61,17.79,415,284,199.257,1447.4
62,2.35,126,346,210.0,185.6
63,9.75,125,266,209.621,224.1
64,8.71,432,368,200.644,1007.9
65,8.56,350,302,210.0,767.0
66,8.54,522,356,199.684,821.0
67,9.62,606,366,199.109,928.8
68,19.09,398,315,198.943,1255.7
69,9.15,146,275,208.306,424.1
70,5.06,89,377,209.763,213.7
71,3.28,104,371,208.985,106.9
72,5.53,118,273,209.756,48.7
73,5.54,89,377,210.0,140.7
74,4.7,89,257,209.128,109.4
75,12.88,610,387,200.013,511.2
76,10.48,569,324,200.443,810.8
77,2.6,168,297,210.0,166.4
78,2.25,152,383,209.806,164.7
79,10.29,558,418,199.442,742.4
80,1.28,119,349,209.767,23.7
81,10.74,414,342,199.618,1190.0
82,11.74,476,337,199.384,1157.7
83,9.28,524,354,201.129,622.2
84,5.86,433,338,200.668,1255.7
85,6.4,189,369,209.158,152.3
86,3.15,175,378,209.945,1.6
87,12.63,610,376,200.446,1016.5
88,8.74,465,370,209.398,226.6
89,9.31,453,331,200.439,1184.1
90,8.35,501,362,199.935,904.9
91,5.93,177,307,209.82,239.8
92,4.2,89,272,209.431,372.6
93,26.6,493,325,199.991,1322.1
94,13.86,390,394,208.841,206.7
95,13.25,430,401,204.893,299.6
96,17.31,443,301,200.417,285.4
97,6.33,499,331,205.218,357.3
98,4.84,449,309,204.953,741.0
99,6.2,108,332,209.523,145.3
100,7.24,586,351,200.333,505.4
101,7.43,372,311,209.2,478.1
102,9.87,432,316,200.13,1058.1
103,2.64,136,343,209.427,144.6
104,12.76,610,341,200.568,502.2
105,26.24,453,329,198.943,1892.7
106,6.75,174,368,209.447,311.0
107,5.6,145,279,209.943,1.6
108,6.6,237,369,210.0,142.8
109,10.51,494,408,201.01,1007.1
110,6.63,448,296,200.779,1058.7
111,11.94,610,434,200.792,882.6
112,1.68,89,345,209.312,332.1
113,6.85,451,305,209.781,882.2
114,8.6,469,311,200.785,421.5
115,3.61,229,324,203.631,1048.0
116,8.7,287,348,210.0,101.7
117,10.95,582,339,200.447,766.7
118,4.09,453,383,209.842,188.4
119,11.41,604,339,200.731,1005.0
120,10.62,532,350,200.678,1053.8
121,7.9,100,353,209.984,352.4
122,16.58,134,246,209.94,389.9
123,14.46,461,289,200.023,967.8
124,8.05,141,391,210.0,323.0
125,14.51,484,359,200.226,1197.2
126,10.64,589,369,200.211,909.9
127,7.98,386,281,208.553,374.1
128,6.59,216,377,210.0,118.5
129,0.97,164,343,209.511,260.6
130,7.73,428,353,209.239,251.9
131,2.95,96,269,209.904,175.3
132,19.22,384,350,198.943,610.7
133,2.4,162,347,209.134,410.6
134,6.9,428,358,209.709,269.2
135,10.47,610,434,200.186,887.0
136,0.76,208,357,209.749,1.6
137,5.06,134,372,209.698,221.7
138,13.26,610,388,199.404,571.5
139,17.7,422,319,209.711,668.3
140,18.83,154,366,209.343,217.7
141,5.78,427,329,200.575,1567.8
142,4.43,398,288,209.573,1433.3
143,7.7,89,351,209.001,221.1
144,10.72,609,344,200.848,1039.6
145,0.76,89,329,209.307,443.0
146,3.97,162,365,210.0,143.2
147,4.34,396,371,200.745,1090.5
148,9.55,479,345,199.229,919.5
149,14.25,337,272,199.292,980.5
150,5.34,89,335,208.924,371.4
151,19.56,428,300,209.853,361.3
152,8.88,502,399,198.943,1284.6
153,5.06,107,280,209.224,300.9
154,13.39,116,360,208.939,426.5
155,10.44,516,341,200.14,1320.9
156,11.66,105,357,209.381,346.7
157,8.26,411,296,199.132,399.8
158,19.14,405,396,200.016,1081.3
159,6.94,479,298,199.262,1269.0
160,7.87,486,323,199.097,1034.8
161,9.03,215,278,209.833,136.3
162,0.76,209,367,209.531,209.0
163,5.54,89,308,209.681,227.9
164,11.74,610,352,198.943,901.0
165,13.62,330,383,209.216,195.5
166,15.74,486,301,200.327,415.2
167,7.4,129,344,209.004,337.7
168,9.28,345,266,200.232,1025.6
169,4.35,570,322,199.151,1616.9
170,11.81,89,330,209.972,382.0
171,15.41,358,403,204.206,663.5
172,8.82,376,323,200.012,521.1
173,10.92,531,411,201.325,735.3
174,10.86,571,405,199.617,1072.3
175,9.03,610,382,201.094,720.4
176,6.86,149,281,209.327,417.9
177,6.92,501,315,209.563,1159.1
178,7.73,503,315,198.943,1591.9
179,11.57,495,389,200.162,1038.0
180,13.67,398,345,200.788,860.7
181,0.76,117,368,209.612,171.9
182,20.23,586,345,200.644,873.0
183,5.72,479,400,200.794,846.4
184,15.21,202,338,209.301,257.2
185,5.11,89,373,209.279,29.6
186,8.85,122,363,209.339,120.0
187,7.19,393,306,200.09,1311.5
188,13.17,610,356,199.461,754.0
189,3.32,207,295,210.0,310.0
190,9.13,398,297,199.523,939.0
191,10.5,610,333,199.993,610.5
192,2.66,195,386,209.61,184.7
193,6.07,220,298,200.443,106.3
194,8.42,404,302,201.757,131.3
195,5.7,175,371,210.0,8.3
196,2.31,89,381,209.691,88.0
197,6.1,502,350,200.613,1132.8
198,0.76,131,385,210.0,74.0
199,8.79,415,305,199.093,426.0
200,9.07,510,314,200.32,853.8
201,9.87,571,363,199.029,777.2
202,12.53,577,344,201.609,1393.9
203,10.92,545,311,201.139,749.3
204,0.76,89,378,208.95,113.0
205,8.91,474,337,198.943,686.2
206,9.24,156,333,209.325,231.2
