,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
987231,1.83,89,339,209.784,1.6
79954,17.38,610,426,198.943,1782.2
567130,10.77,351,378,205.399,429.2
500891,9.07,509,353,200.945,693.2
55399,7.94,152,285,202.053,51.5
135049,7.12,202,292,204.812,489.0
733378,8.51,282,357,202.554,321.4
732057,7.6,390,373,203.259,427.9
51333,19.38,366,432,204.662,1027.4
731479,9.42,247,307,205.165,414.0
399758,11.29,497,311,204.108,871.0
401397,16.27,540,315,203.635,946.8
855485,0.76,172,298,208.944,1.6
858884,5.11,574,434,200.49,1435.9
503247,8.64,402,390,202.0,445.4
864741,4.41,177,412,210.0,118.2
35032,0.76,138,320,210.0,1.6
995703,12.95,420,319,208.737,880.1
376761,4.54,172,280,209.693,141.7
811353,1.89,185,256,210.0,1.6
577745,6.87,168,290,205.399,251.4
659806,0.76,89,245,210.0,1.6
219339,24.15,504,320,200.912,1825.0
979755,8.56,345,295,203.955,606.6
625691,4.99,435,404,203.591,859.8
215339,16.41,456,347,198.943,1440.5
443417,9.84,401,362,205.728,710.6
980328,20.14,311,355,207.067,1121.2
336983,7.75,215,288,209.136,96.9
518812,9.35,297,278,206.146,154.2
943378,11.08,263,352,203.783,168.5
2085,8.64,247,368,208.719,1.6
663615,3.71,173,346,210.0,321.7
677814,7.0,343,371,204.926,658.8
957737,0.76,208,327,210.0,1.6
543082,10.91,375,388,204.68,1003.0
529927,7.28,116,348,207.389,528.7
66336,6.82,336,324,205.939,575.8
272966,0.81,91,300,210.0,1.6
876375,10.2,341,307,202.462,563.2
443181,5.94,330,359,204.753,900.5
38747,10.88,225,383,210.0,425.2
244518,6.18,250,360,210.0,284.5
321941,5.45,415,285,205.265,8.7
212423,11.19,473,394,204.951,775.8
684487,10.33,212,355,205.35,328.2
460021,3.33,179,319,208.135,18.5
330797,1.79,195,321,210.0,1.6
820287,4.59,390,322,201.612,216.7
934968,19.46,568,318,200.617,994.0
878902,2.06,89,356,210.0,1.6
507014,16.64,497,364,200.863,1519.2
63468,17.96,403,335,201.538,1211.8
568670,2.87,89,292,209.261,1.6
855771,2.77,126,357,205.413,1.6
606372,10.0,209,346,205.57,289.9
358900,11.42,610,366,201.933,1054.0
178392,7.58,519,335,206.069,487.3
921914,10.45,269,282,204.31,575.1
348365,25.34,562,381,198.943,1892.7
377482,0.76,258,323,209.099,1.6
44792,6.65,592,434,200.221,639.3
690927,4.03,150,324,210.0,403.9
50313,0.76,260,366,207.806,1.6
780881,16.1,610,377,198.943,1203.4
18958,26.12,552,422,199.88,1892.7
804703,9.58,367,333,205.903,1068.5
8985,5.47,381,365,204.618,390.8
99901,16.94,610,383,198.943,1706.5
655318,5.65,356,322,206.567,242.0
224928,4.28,503,414,205.029,391.8
926625,8.76,454,377,201.573,600.4
67898,0.76,231,345,210.0,1.6
68878,8.67,159,262,203.469,284.0
904484,10.92,325,320,201.852,808.6
244299,15.4,405,434,198.943,1214.6
912237,5.3,89,278,209.092,1.6
803684,8.79,383,374,199.703,714.8
444936,7.32,606,400,208.514,990.5
895958,2.84,254,340,209.727,1.6
858828,14.13,395,293,203.573,851.9
575347,14.3,541,385,203.545,1013.3
464016,8.71,571,376,198.943,968.0
196829,0.76,214,348,208.789,265.8
309023,3.0,324,374,207.192,295.7
347381,8.08,269,343,203.153,1068.0
310804,12.81,241,384,206.564,476.6
837523,13.88,346,369,203.756,740.7
268240,15.22,423,378,204.106,1152.4
366137,7.78,410,331,204.519,686.8
449596,7.14,397,310,208.161,88.6
586917,0.76,89,338,210.0,1.6
980753,0.76,89,325,210.0,1.6
51662,11.16,89,268,207.681,145.0
892873,11.42,473,322,199.31,1117.0
576798,7.07,369,297,208.079,536.8
480866,5.72,299,245,208.572,169.2
550670,22.8,592,359,198.943,1892.7
584291,10.28,490,419,201.133,1557.2
362131,0.89,240,347,210.0,1.6
33319,18.05,356,276,201.68,1536.9
215537,5.92,391,365,208.632,511.3
126314,5.53,505,434,208.238,811.8
460373,10.15,610,423,198.943,1028.1
489379,6.52,376,391,206.795,506.5
63224,4.9,351,296,206.021,155.3
965339,0.76,191,434,210.0,1.6
779635,9.01,244,321,208.648,619.1
695825,8.94,513,343,201.685,998.6
561880,20.7,513,336,198.943,1438.9
279994,15.6,445,321,207.039,1197.1
876144,12.74,610,434,198.943,1072.7
571749,18.4,377,360,198.943,1105.2
435458,11.76,543,364,199.688,1197.9
256147,8.46,395,316,207.135,653.5
527943,22.13,431,307,201.191,1133.6
330301,8.69,393,322,205.165,609.5
872559,0.76,89,379,210.0,1.6
69254,7.99,264,398,207.832,630.6
678875,13.15,329,385,205.873,729.3
275405,8.54,223,336,210.0,168.2
943251,15.43,610,434,198.943,1892.7
587305,11.79,488,359,200.679,1120.8
889145,10.4,142,268,207.282,527.7
379066,0.76,142,245,210.0,1.6
115771,16.03,270,371,208.529,684.0
517431,5.49,284,379,206.326,373.9
265973,8.02,610,405,198.943,1164.7
675594,9.33,450,368,201.743,436.1
400807,8.08,324,388,203.333,397.3
565510,0.76,216,305,208.822,1.6
100075,5.87,89,297,209.537,1.6
701082,8.03,304,357,204.086,446.0
103660,2.01,256,354,210.0,15.1
172271,6.0,300,353,205.582,427.4
331227,5.51,212,326,210.0,68.5
259149,1.38,236,289,205.497,1.6
938626,11.0,248,292,204.037,329.6
606357,10.67,395,371,205.555,744.3
990306,12.31,328,275,210.0,85.6
829829,8.1,438,326,206.409,565.6
875277,9.14,171,371,210.0,117.4
256729,7.73,377,373,201.21,852.7
246895,1.78,176,378,210.0,67.0
40810,18.97,464,296,202.368,1389.4
314674,10.36,466,351,203.432,873.6
20473,12.75,512,374,200.891,1001.1
525060,5.08,227,284,200.882,157.6
582946,2.08,271,341,210.0,1.6
881794,10.44,230,258,204.101,726.7
974158,4.3,404,415,207.26,38.1
422758,5.87,376,346,201.951,821.2
673532,24.6,610,370,198.943,1890.1
826660,10.72,210,409,209.22,451.4
733810,0.76,309,371,207.576,1.6
837315,10.14,333,289,209.705,152.6
570266,3.97,194,251,210.0,1.6
6298,13.19,410,356,199.411,1056.5
996135,9.69,610,381,198.996,1135.2
711524,10.36,366,344,207.42,839.7
959375,1.9,443,403,206.586,575.9
55070,1.33,279,356,210.0,1.6
21219,4.48,363,335,210.0,51.8
430193,0.76,417,299,200.22,358.1
992619,6.18,244,298,207.615,409.7
123551,14.5,413,334,207.741,706.3
432316,4.0,89,264,210.0,123.1
274636,6.95,472,344,202.809,961.2
115138,21.58,610,425,198.943,1892.7
431446,15.1,455,396,203.806,916.2
92660,0.82,299,281,210.0,144.3
450102,9.68,244,273,201.798,713.7
348666,14.31,472,316,198.943,1145.8
344474,7.52,305,325,206.895,756.3
483615,3.22,243,339,210.0,143.6
508945,0.76,89,327,209.918,1.6
481188,1.31,154,400,210.0,1.6
441451,2.1,496,434,205.527,591.3
531787,0.76,127,310,210.0,1.6
556418,8.49,256,322,208.789,135.3
973423,9.35,541,384,202.841,791.4
386542,13.67,394,335,201.388,900.5
25768,12.33,524,359,202.255,1200.2
470128,0.76,89,354,210.0,1.6
931864,8.02,337,326,205.883,491.5
488469,0.76,231,345,210.0,1.6
200614,4.48,439,372,201.885,829.3
694206,0.76,100,367,210.0,1.6
969439,19.2,594,434,198.943,1628.7
802841,7.91,418,283,205.6,222.5
98605,14.91,429,345,201.46,1040.6
303097,9.14,208,264,205.783,226.7
765403,1.05,229,310,209.702,1.6
727932,24.21,610,434,198.943,1892.7
519048,12.75,440,301,198.943,1043.5
538356,11.21,537,382,204.957,773.4
442079,10.46,401,339,206.842,796.9
421033,10.9,499,361,199.495,893.4
185498,9.19,425,402,205.751,389.4
62036,10.73,471,345,202.311,884.6
26706,11.56,596,383,201.779,1177.6
178228,10.51,323,377,204.47,1017.8
265704,8.02,481,348,205.841,957.6
198493,16.79,494,331,198.943,1309.8
373298,10.34,164,331,207.103,617.9
836405,11.89,229,371,206.833,573.2
160613,12.62,476,434,206.13,1096.0
71972,15.9,469,276,199.741,1530.9
803048,5.85,331,381,205.48,575.9
45678,12.79,417,253,200.385,1176.0
599914,0.76,89,337,210.0,1.6
352277,5.26,326,417,203.82,186.2
458903,13.05,452,410,199.845,1193.7
777379,0.76,109,380,210.0,1.6
