,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,26.6,457,279,199.63,1442.1
1,18.7,457,299,199.899,1237.0
2,16.5,458,338,200.359,1198.1
3,13.1,458,299,200.353,830.9
4,9.9,458,294,200.59,562.9
5,6.9,458,325,199.433,381.5
6,6.1,456,314,200.909,346.6
7,6.3,456,309,201.066,358.6
8,12.9,610,314,200.08,1490.1
9,6.8,610,373,201.196,810.4
10,25.4,457,374,199.94,1892.7
11,19.6,458,390,199.859,1408.6
12,18.8,455,367,198.943,1391.7
13,16.4,458,424,199.92,1302.9
14,13.3,458,411,199.931,1111.5
15,10.0,458,410,200.485,783.4
16,6.8,458,434,199.501,538.8
17,13.6,610,405,199.138,1729.7
18,13.7,608,378,199.72,1828.2
19,7.0,609,429,200.617,918.3
20,9.9,608,401,200.251,1317.2
21,14.9,273,290,210.0,306.1
22,7.8,273,304,210.0,160.0
23,5.6,273,405,210.0,150.9
24,4.9,273,419,210.0,139.7
25,3.5,273,287,210.0,64.7
26,2.5,273,311,210.0,48.8
27,1.9,109,269,210.0,7.1
28,1.4,103,270,210.0,4.3
29,1.1,105,270,210.0,3.2
30,0.94,103,245,210.0,2.3
31,0.76,104,267,210.0,1.6
32,2.9,100,358,210.0,10.3
33,2.3,125,359,210.0,12.2
34,1.6,112,357,210.0,7.4
35,0.99,89,370,210.0,2.7
36,1.3,117,394,210.0,6.2
37,5.9,273,380,210.0,167.2
38,8.9,273,334,210.0,232.1
39,6.6,406,342,210.0,385.7
40,6.5,508,375,210.0,593.1
41,3.9,114,308,210.0,15.4
42,3.9,168,305,210.0,33.2
43,4.8,168,368,210.0,48.3
44,5.6,273,306,210.0,126.7
45,6.4,324,377,210.0,248.9
46,6.4,356,297,210.0,231.3
47,6.3,406,309,210.0,297.0
48,6.4,508,362,210.0,509.5
