No, Yrs, pH, V, Res, H2O, BD, Cl, HCO3, SO4, Redox, Coat, Pit
1.0,20,4.35,-0.71,62.1,23.9,1.21,12.41,16.65,172.2,342,0.8,1.57
2.0,20,4.79,-0.83,63.5,19.5,1.28,24.81,11.1,116.1,129,1.0,3.05
3.0,20,5.78,-0.77,17.6,23.9,1.27,14.06,11.1,121.7,339,0.8,2.08
4.0,20,5.65,-0.83,19.3,27,1.25,15.44,11.1,34.3,340,0.8,1.57
5.0,19,6.84,-1.95,36,27.7,1.26,7.44,12.93,343.3,235,0.8,0.79
6.0,21,5.21,-0.91,65.8,12.8,1.3,12.13,11.1,84.17,313,0.8,0.81
7.0,21,5.27,-0.99,15.2,16.4,1.21,8.82,12.93,93.58,306,0.8,1.17
8.0,21,5.5,-1.08,20.8,15.3,1.24,9.1,13.87,47.4,279,0.8,1.17
9.0,20,4.33,-0.71,57.1,23.9,1.24,14.89,11.1,127,342,0.8,1.57
10.0,26,7.5,-0.65,15.7,20.3,1.28,8.27,12.65,136.4,235,0.7,1.42
11.0,26,7.11,-0.68,39.4,30.3,1.16,9.94,12.65,101.5,210,0.7,1.89
12.0,26,6.01,-0.67,13.3,29.4,1.3,69.05,5.55,40.43,96,0.7,4.24
13.0,26,7.04,-0.71,10,34.1,1.21,38.26,12.87,106.8,93,0.7,2.59
14.0,21,5.02,-0.81,44,19.5,1.27,49.3,11.1,28,104,1.0,3.91
15.0,21,5.73,-0.79,81.1,12.5,1.29,9.93,19.42,173,272,0.8,0.76
16.0,25,5.8,-0.88,8.8,33.9,1.15,11.58,8.32,321.1,263,0.7,2.51
17.0,26,6.22,-0.77,10.8,27.4,1.17,27.99,5.1,143.2,92,0.7,2.67
18.0,25,6.37,-0.85,46.8,30.4,1.16,14.06,11.1,284.3,88,0.7,0.94
19.0,23,5.77,-0.97,104.7,28,1.2,8.82,12.94,170.8,305,0.7,0.53
20.0,25,5.73,-1.36,18.7,29.8,1.19,17.09,27.74,83.6,309,0.7,1.07
21.0,21,4.86,-0.8,89.6,16.1,1.26,56.32,5.55,34.8,189,1.0,3.91
22.0,18,4.91,-1.16,124.2,22.3,1.24,10.75,11.1,39.81,348,1.0,2.06
23.0,25,5,-0.88,16.2,31,1.11,26.62,5.55,133.2,220,0.7,3.1
24.0,20,7.5,-1.44,22.4,26.8,1.25,8.27,5.55,275,157,0.8,0.43
25.0,18,5.15,-1.36,183.1,25.5,1.22,15.72,5.55,57.66,218,1.0,2.34
26.0,22,6.4,-0.88,30.9,18.8,1.24,8.27,5.55,129.8,202,0.8,0.76
27.0,25,5.29,-0.75,86.3,29.1,1.12,6.62,5.55,60.47,275,0.7,1.17
28.0,20,4.16,-1.09,6.8,28.9,1.2,86.3,8.32,129.8,108,1.0,4.78
29.0,23,4.6,-0.8,129.3,20.8,1.27,8.8,9.71,98.1,130,0.7,1.27
30.0,20,5.51,-0.62,72.3,28.9,1.17,14.09,11.1,81.99,315,0.8,1.57
31.0,29,6.61,-1.11,9.1,30.8,1.28,18.49,5.55,30.97,59,0.7,0.91
32.0,19,5.5,-1.18,236.6,18.1,1.29,11.45,8.32,82.28,326,0.7,1.4
33.0,22,5.2,-0.87,98.5,21,1.29,12.33,16.65,184.8,255,1.0,2.21
34.0,22,5.35,-0.88,87.4,23.1,1.19,7.92,19.42,59.19,288,0.8,1.65
35.0,20,5.29,-0.83,82.7,19.1,1.27,8.8,11.1,54.91,269,0.8,1.17
36.0,22,5.77,-0.96,79.3,17,1.19,7.92,11.1,71.59,233,0.8,1.93
37.0,20,6.01,-0.91,24.1,22.6,1.19,7.92,11.1,138.7,201,0.8,0.94
